Como é que os contracetivos orais combinados impedem a gravidez?,"Suprimem as gonadotropinas ($LH$ e $FSH$), impedindo a ovulação."
Mencione uma benzodiazepina de ação ultra-curta utilizada para indução de sedação em procedimentos cirúrgicos curtos.,Remimazolam.
O remifentanilo é metabolizado por que via?,Esterases plasmáticas e tecidulares (metabolismo muito rápido).
Qual a principal proteína plasmática à qual o estradiol se liga?,Globulina de ligação a hormonas sexuais ($SHBG$).
Que tipo de insónia é definida por durar menos de 3 dias?,Insónia transitória.
Qual o principal uso terapêutico do clomifeno?,Indução da ovulação em mulheres anovulatórias.
Qual o efeito dos estrogénios nos níveis de $HDL$ e $LDL$ no soro?,Aumentam o $HDL$ e diminuem o $LDL$.
Mencione um uso clínico da mifepristona ($RU-486$).,Terminação da gravidez precoce (aborto médico).
Qual o efeito dos estrogénios na remodelação óssea?,Diminuem a reabsorção óssea ao promover a apoptose dos osteoclastos.
Como é que as benzodiazepinas afetam o tónus muscular em doentes com paralisia cerebral?,Induzem hipotonia muscular sem interferir com a locomoção normal.
Qual o uso do sulfato de magnésio na pré-eclâmpsia grave?,Prevenção de convulsões (eclâmpsia).
Qual o efeito dos opioides na pupila humana?,Miose (pupilas puntiformes).
Qual o mecanismo de ação do anastrozol e do letrozol?,Inibidores da aromatase (bloqueiam a síntese de estrogénios).
Como é que o fulvestrant difere dos $SERMs$?,É um antagonista puro em todos os tecidos (antiestrogénio puro).
Qual a enzima que converte a testosterona em estradiol?,Aromatase.
Qual o perigo da administração de opioides a recém-nascidos?,Risco elevado de depressão respiratória significativa.
Qual a principal indicação terapêutica do clobazam?,Tratamento adjuvante de convulsões na síndrome de Lennox-Gastaut.
O que é a amnésia anterógrada associada às benzodiazepinas?,Incapacidade de formar novas memórias após a administração do fármaco.
Qual o metabolito da morfina que possui atividade analgésica significativa?,Morfina-6-glucuronido.
Mencione um efeito benéfico não contracetivo dos contracetivos orais combinados.,Redução da incidência de cancro do ovário e do endométrio.
Qual a diferença de potência aproximada entre o fentanilo e a morfina?,O fentanilo é cerca de 100 vezes mais potente.
Porque é que a naltrexona é utilizada no tratamento da dependência do álcool?,Bloqueia os efeitos reforçadores mediadores pelos opioides endógenos.
Qual o efeito do raloxifeno no tecido ósseo e na mama?,Agonista no osso (previne osteoporose) e antagonista na mama.
Qual a principal via metabólica de terminação da ação para benzodiazepinas como o oxazepam e o lorazepam?,Conjugação direta com ácido glucurónico.
Que fármaco opioide é frequentemente utilizado em adesivos transdérmicos para dor crónica?,Fentanilo.
Qual o principal uso terapêutico do dextrometorfano?,Antitússico.
Qual a principal via de excreção dos metabolitos conjugados da morfina?,Excreção renal (filtração glomerular).
Qual o principal neurotransmissor inibitório no Sistema Nervoso Central cujo recetor é o alvo das benzodiazepinas?,$GABA$ (ácido $\gamma$-aminobutírico).
Qual a tríade clássica de sintomas na sobredosagem por opioides?,"Coma, pupilas puntiformes (miose) e depressão respiratória."
Qual o fármaco de eleição para reverter a depressão respiratória aguda por overdose de opioides?,Naloxona.
Qual o risco cardiovascular aumentado em mulheres fumadoras com mais de 35 anos que tomam contracetivos orais?,Risco aumentado de enfarte do miocárdio e tromboembolismo.
Como é que os estrogénios influenciam o risco de cálculos biliares?,Aumentam a secreção de colesterol e diminuem a secreção de ácidos biliares na bílis.
Qual o recetor opioide primariamente responsável pela analgesia e pela depressão respiratória?,Recetor $\mu$.
Qual o efeito da ativação dos recetores opioides nos canais de cálcio ($Ca^{2+}$) pré-sinápticos?,"Inibição da abertura dos canais, reduzindo a libertação de neurotransmissores."
"Diferença mecanística: Qual a ação adicional dos barbitúricos no recetor $GABA_A$ em concentrações elevadas, comparativamente às benzodiazepinas?",Podem ativar diretamente os recetores $GABA_A$ (ação $GABA$-mimética).
O hidrato de cloral é reduzido no fígado a que composto ativo?,Tricloroetanol.
O que define um Modulador Seletivo do Recetor de Estrogénio ($SERM$)?,Um composto com ações de agonista ou antagonista dependentes do tecido.
Como é que a morfina afeta o reflexo da tosse?,Deprime o reflexo por ação direta no centro da tosse no bolbo raquidiano.
O que causa a libertação súbita de $LH$ (LH surge) no meio do ciclo menstrual?,Ação estimulatória positiva dos estrogénios no hipotálamo/pituitária.
Qual o efeito da indometacina quando usada como tocolítico?,Inibe as contrações uterinas ao bloquear a síntese de prostaglandinas.
Como é que a alcalinização da urina afeta a excreção do fenobarbital?,Aumenta significativamente a sua excreção renal.
Qual o estrogénio natural mais potente em humanos?,$17\beta$-estradiol.
O que é a tolerância farmacodinâmica?,Necessidade de doses maiores para obter o mesmo efeito devido a adaptações celulares.
A que precursor peptídico pertence a sequência da $\beta$-endorfina?,Pró-opiomelanocortina ($POMC$).
Porque é que as benzodiazepinas são consideradas mais seguras do que os barbitúricos em caso de sobredosagem?,Não ativam diretamente o canal e dependem da libertação pré-sináptica de $GABA$.
Como é que o etinilestradiol atinge uma elevada potência oral em comparação com o estradiol?,A substituição etinilo no $C17$ inibe o metabolismo hepático de primeira passagem.
Qual o mecanismo de ação do tramadol?,Agonista $\mu$ fraco e inibição da recaptação de noradrenalina e serotonina.
Mencione um agonista opioide que também atua como antagonista dos recetores $NMDA$.,Metadona.
Qual o mecanismo de ação do ulipristal como contracetivo de emergência?,Modulador seletivo do recetor de progesterona que inibe ou retarda a ovulação.
O tamoxifeno é utilizado no tratamento de que patologia?,Cancro da mama (em tumores $ER$-positivos).
Mencione um efeito colateral comum da eszopiclona.,Gosto amargo na boca.
Como é que os barbitúricos alteram a cinética do canal de cloro ($Cl^-$) do recetor $GABA_A$?,Aumentam o tempo médio de abertura do canal.
Quais são os quatro tipos de recetores opioides clássicos?,"Mu ($\mu$), delta ($\delta$), kappa ($\kappa$) e nociceptina ($NOP$)."
Qual a função do componente progestativo na Terapia Hormonal da Menopausa em mulheres com útero intacto?,Prevenir a hiperplasia e o cancro do endométrio induzidos por estrogénios.
O fármaco metadona é excretado mais rapidamente em que condições urinárias?,Urina acidificada.
Como é que a morfina causa hipotensão ortostática?,Através da libertação de histamina e embotamento dos reflexos barorrecetores.
Qual a via de administração necessária para a naloxona devido ao seu elevado metabolismo de primeira passagem?,Via parenteral ou intranasal.
Em que interface de subunidades do recetor $GABA_A$ se ligam as benzodiazepinas?,Na interface $\alpha / \gamma$.
O que é o síndrome de hiperestimulação ovárica ($OHSS$)?,Uma complicação da indução da fertilidade com gonadotropinas que causa aumento ovárico e ascite.
"O que é o ""síndrome do tórax rígido"" (wooden chest syndrome) associado ao fentanilo?",Rigidez muscular da parede torácica e diafragma que dificulta a ventilação.
Qual o risco da administração de flumazenil em doentes com sobredosagem mista de benzodiazepinas e antidepressivos tricíclicos?,Risco de precipitação de convulsões.
O fármaco flunitrazepam é conhecido por que uso ilícito?,"Como droga de ""violação em encontro"" (date rape drug)."
Qual o fármaco utilizado especificamente como antagonista para reverter os efeitos das benzodiazepinas?,Flumazenil.
"Porque é que a buprenorfina é considerada um fármaco de ""teto"" para a depressão respiratória?",Porque é um agonista parcial dos recetores $\mu$.
Qual a classe de fármacos hipnóticos que inclui o zolpidem e o zaleplom?,Compostos Z (não-benzodiazepínicos).
Qual a contraindicação absoluta para o uso de barbitúricos relacionada com a síntese do grupo heme?,Porfiria intermitente aguda.
A que classe pertence o fármaco midazolam quanto à sua duração de ação?,Ação curta (semivida $<6$ h).
